+EI TIC MRM (** -> **) 20221016 H5 2 MRM22.d  Subtract		
Index	X	Y
1233	11.723	2457.01
1234	11.728	2835.34
1235	11.733	2940.37
1236	11.738	2718.25
1237	11.743	2249.98
1238	11.748	1681.7
1239	11.753	1124.7
1240	11.758	639.75
1241	11.763	271.88
1242	11.768	58.78
1243	11.773	-14.39
1244	11.778	-6.18
1245	11.784	26.39
1246	11.789	54.95
1247	11.794	73.64
1248	11.799	83.3
1249	11.804	85.9
1250	11.809	83.97
1251	11.814	79.33
1252	11.819	74.57
1253	11.824	72.31
1254	11.829	72.21
1255	11.834	71.31
1256	11.839	68.32
1257	11.844	66.19
1258	11.849	67.76
1259	11.854	71.75
1260	11.86	75.59
1261	11.865	78.03
1262	11.87	78
1263	11.875	75.65
1264	11.88	74
1265	11.885	75.54
1266	11.89	77.13
1267	11.895	74.47
1268	11.9	69.56
1269	11.905	67.26
1270	11.91	67.66
1271	11.915	68.39
1272	11.92	69.75
1273	11.925	73.41
1274	11.93	79.61
1275	11.935	87.25
1276	11.941	95.06
1277	11.946	102.18
1278	11.951	108.94
1279	11.956	115.52
1280	11.961	119.57
1281	11.966	120.06
1282	11.971	120.52
1283	11.976	124.08
1284	11.981	129.31
