#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
822	9.933	103.337249755859
823	9.938	107.025367736816
824	9.942	114.808746337891
825	9.947	127.677345275879
826	9.951	143.413269042969
827	9.956	156.504791259766
828	9.96	161.611328125
829	9.965	157.837142944336
830	9.969	147.585861206055
831	9.974	134.030075073242
832	9.978	120.420532226563
833	9.983	108.798599243164
834	9.987	99.1163940429688
835	9.992	91.0210418701172
836	9.996	85.873779296875
837	10.001	84.7026443481445
838	10.006	85.588020324707
839	10.01	85.3462982177734
840	10.015	83.7636566162109
841	10.019	82.7553863525391
842	10.024	82.095832824707
843	10.028	80.3862457275391
844	10.033	78.2370910644531
845	10.037	77.1504440307617
846	10.042	77.2525024414063
847	10.046	77.8586730957031
848	10.051	79.2379760742188
849	10.055	82.3995361328125
850	10.06	87.2202758789063
851	10.064	92.3243789672852
852	10.069	95.8627395629883
853	10.073	97.5356750488281
854	10.078	98.8750686645508
855	10.082	100.385894775391
856	10.087	101.128555297852
857	10.092	101.112678527832
858	10.096	100.463264465332
859	10.101	98.0980377197266
860	10.105	93.3877334594727
861	10.11	87.6395645141602
862	10.114	83.3571166992188
863	10.119	81.6768493652344
864	10.123	81.9021072387695
865	10.128	83.3500595092773
866	10.132	86.5995330810547
867	10.137	95.0615386962891
868	10.141	115.844093322754
869	10.146	157.800903320313
870	10.15	229.076400756836
871	10.155	332.227691650391
872	10.159	457.900848388672
873	10.164	582.989440917969
874	10.169	676.031494140625
875	10.173	713.437133789063
876	10.178	693.357360839844
877	10.182	631.283569335938
878	10.187	547.357971191406
879	10.191	458.741790771484
880	10.196	377.426483154297
881	10.2	308.712127685547
882	10.205	254.098709106445
883	10.209	214.20849609375
884	10.214	185.501708984375
885	10.218	162.792617797852
886	10.223	146.276809692383
887	10.227	137.260192871094
888	10.232	5.87819480895996
889	10.236	6.6504602432251
890	10.241	7.70251512527466
891	10.246	8.35701179504395
892	10.25	8.17121982574463
893	10.255	7.65388011932373
894	10.259	7.34555053710938
895	10.264	7.1433162689209
896	10.268	6.80180931091309
897	10.273	6.40128231048584
898	10.277	6.19535350799561
899	10.282	6.36321496963501
900	10.286	6.83145904541016
901	10.291	7.36409664154053
902	10.295	7.87124395370483
903	10.3	8.6560001373291
904	10.304	10.2902641296387
905	10.309	13.3696384429932
906	10.313	18.362325668335
907	10.318	25.2109699249268
908	10.323	32.96826171875
909	10.327	40.2087440490723
910	10.332	45.559757232666
911	10.336	47.4964332580566
912	10.341	45.0058135986328
913	10.345	39.204288482666
914	10.35	32.6780166625977
915	10.354	27.3312530517578
916	10.359	23.5860328674316
917	10.363	20.7167739868164
918	10.368	18.2608108520508
919	10.372	16.7872257232666
920	10.377	16.4922637939453
921	10.381	49.6912117004395
922	10.387	45.1541557312012
923	10.392	40.6202278137207
924	10.397	37.4106597900391
925	10.402	36.09521484375
926	10.407	35.6411628723145
927	10.412	35.4215888977051
928	10.417	35.7855567932129
929	10.422	36.5449104309082
930	10.427	37.9358253479004
931	10.432	41.7149620056152
932	10.437	48.2146759033203
933	10.442	55.560115814209
934	10.447	64.4482498168945
935	10.452	79.0897369384766
936	10.457	103.761108398438
937	10.462	141.414291381836
938	10.467	193.430297851563
939	10.473	257.474304199219
940	10.478	324.844055175781
941	10.483	381.666534423828
942	10.488	418.299591064453
943	10.493	441.954864501953
944	10.498	473.985809326172
945	10.503	525.829833984375
946	10.508	581.434387207031
947	10.513	610.127990722656
948	10.518	592.46337890625
949	10.523	532.844970703125
950	10.528	452.971466064453
951	10.533	376.437591552734
952	10.538	314.931732177734
953	10.543	270.378326416016
954	10.548	245.54280090332
955	10.554	243.128143310547
956	10.559	260.046112060547
957	10.564	288.43994140625
958	10.569	317.410064697266
959	10.574	334.072906494141
960	10.579	330.593597412109
961	10.584	312.160491943359
962	10.589	289.99658203125
963	10.594	268.259796142578
964	10.599	243.238220214844
965	10.604	212.086700439453
966	10.609	177.982482910156
967	10.614	148.385101318359
